"CUSTOMER_ID","ACQUISITION_TYPE","REFERENCE_ID","PHONE_NUMBER","CUSTOMER_GENDER","DATE_OF_BIRTH","FIRST_NAME","LAST_NAME","CUSTOMER_EMAIL","POST_CODE","HOUSE_NUMBER","AD_ID"
"C101","Paid","","4167451745","Female","1980-04-04"," Quaton","Thomas","quaton_thomas@outlook.com","SW3 6RT","39","AD1020"
"C102","Paid","","9893425638","Male","1980-07-14"," Neshea","Tefera","neshea_tefera@yahoo.com","CA14 1JJ","37","AD1026"
"C103","Paid","","9120399132","Female","1993-11-30"," Melissa","Norvell","melissa_norvell@gmail.com","LE15 8DW","24","AD1018"
"C104","Paid","","6472615772","Female","1993-10-27"," Cheyenne","Barnes","cheyenne_barnes@yahoo.com","LA8 0LW","45","AD1029"
"C105","Organic","","7758786155","Male","2006-07-11"," Trevas","Maxey-Bell","trevas_maxey-bell@gmail.com","PA15 1JT","26",""
"C106","Organic","","3014585174","Male","1996-04-05"," Sharon","Mandakh","sharon_mandakh@gmail.com","OX29 0SG","26",""
"C107","Organic","","6040723698","Male","1993-05-25"," Colten","Townsend","colten_townsend@gmail.com","WV6 8HH","24",""
"C108","Paid","","3396220109","Female","1994-01-16"," Yuvann","Crummett","yuvann_crummett@yahoo.com","SE17 3FQ","20","AD1034"
"C109","Organic","","3620123447","Female","1991-09-25"," Earl Henry","Lewis","earlhenry_lewis@hotmail.com","E7 0PR","24",""
"C110","Organic","","4122696546","Male","1998-05-17"," Royce","Osby","royce_osby@outlook.com","L11 3BD","49",""
"C111","Organic","","4901145994","Female","2006-09-23"," Dennis","Wick","dennis_wick@outlook.com","YO26 7PJ","9",""
"C112","Organic","","9648923863","Male","2003-10-23"," Trevas","Maxey-Bell","trevas_maxey-bell@hotmail.com","RG22 4WS","1",""
"C113","Paid","","2500028178","Male","1990-06-09"," Thaamira","el-Yasin","thaamira_el-yasin@yahoo.com","NG31 9GA","42","AD1045"
"C114","Paid","","1889734187","Male","1992-12-14"," Saahir","el-Jaber","saahir_el-jaber@yahoo.com","KY2 5UG","16","AD1003"
"C115","Organic","","3948085594","Female","1987-03-15"," Michael","Kagiyama","michael_kagiyama@hotmail.com","ST3 5PG","25",""
"C116","Organic","","4149997819","Female","1988-07-27"," Valerie","Dauer","valerie_dauer@outlook.com","SW7 4TH","32",""
"C117","Referral","C107","1611531845","Male","1983-10-13"," Savannah","Tran","savannah_tran@yahoo.com","BR3 5UE","32",""
"C118","Paid","","6261405986","Male","2000-10-28"," Rashaad","el-Dajani","rashaad_el-dajani@gmail.com","PL9 8RY","1","AD1040"
"C119","Organic","","6241804536","Female","1999-05-05"," Kenneth","Garcia Cerda","kenneth_garciacerda@hotmail.com","CV3 1NA","21",""
"C120","Paid","","3200448946","Male","1984-09-06"," Samantha","Tyler","samantha_tyler@gmail.com","HU7 4RP","23","AD1013"
"C121","Organic","","4683287073","Female","1980-12-26"," Manulagaeu","Banchongchith","manulagaeu_banchongchith@hotmail.com","EX12 3LE","32",""
"C122","Organic","","7511245620","Female","1995-09-18"," Valerie","Dauer","valerie_dauer@outlook.com","BL9 5QZ","31",""
"C123","Paid","","5216947138","Male","1997-11-04"," Thaamira","el-Yasin","thaamira_el-yasin@gmail.com","CF14 5LP","25","AD1011"
"C124","Organic","","9078102670","Female","1987-02-14"," Mushtaaq","el-Lodi","mushtaaq_el-lodi@yahoo.com","OX17 3HB","38",""
"C125","Paid","","4225165180","Female","1987-10-17"," Raihaan","el-Shaban","raihaan_el-shaban@yahoo.com","DL3 9JD","20","AD1039"
"C126","Paid","","9113491717","Female","1985-03-15"," Daniel","Prevedel","daniel_prevedel@yahoo.com","S81 9RH","32","AD1002"
"C127","Organic","","9184251505","Female","1994-06-01"," Darius","Trahan","darius_trahan@gmail.com","WV14 6HZ","31",""
"C128","Paid","","5547804686","Male","1981-08-01"," Eric","Lucero","eric_lucero@hotmail.com","CM17 9RL","3","AD1008"
"C129","Paid","","9690702743","Female","1984-12-02"," Alegra","Salas","alegra_salas@hotmail.com","BT43 5PH","31","AD1010"
"C130","Referral","C126","4961878499","Male","1989-08-03"," Brittany","Pulliam","brittany_pulliam@outlook.com","S36 9FD","44",""
"C131","Organic","","1166665251","Male","2002-03-09"," Taylor","White","taylor_white@hotmail.com","ST6 6FD","3",""
"C132","Referral","C124","8036091676","Female","1988-07-17"," Nasreen","el-Nazir","nasreen_el-nazir@gmail.com","WS7 4RJ","3",""
"C133","Organic","","5158581373","Female","1994-03-27"," Tayvon","Alsdorf-Gellineau","tayvon_alsdorf-gellineau@yahoo.com","UB10 9AZ","24",""
"C134","Organic","","5568901029","Female","1988-03-18"," Michaela","Plenty Wolf","michaela_plentywolf@gmail.com","ME10 1YB","34",""
"C135","Organic","","6409981617","Female","1992-02-09"," Tayvon","Alsdorf-Gellineau","tayvon_alsdorf-gellineau@gmail.com","EH39 5BZ","46",""
"C136","Organic","","6156949269","Male","1997-03-30"," Miracle","Aragon","miracle_aragon@yahoo.com","TF2 9NE","15",""
"C137","Paid","","5141498099","Male","1995-01-04"," Taaha","al-Zamani","taaha_al-zamani@outlook.com","B16 6AQ","49","AD1004"
"C138","Paid","","2942300515","Male","1999-06-09"," Brittany","Pulliam","brittany_pulliam@yahoo.com","BT11 9NX","19","AD1028"
"C139","Referral","C138","9319884073","Female","1987-01-26"," Ambrosia","Sanchez","ambrosia_sanchez@yahoo.com","EN5 3HS","19",""
"C140","Organic","","5261015327","Female","1992-03-04"," Trevas","Maxey-Bell","trevas_maxey-bell@outlook.com","RG1 4NH","47",""
"C141","Paid","","1725759539","Male","1994-11-13"," Porvangchee","Nguyen","porvangchee_nguyen@yahoo.com","WD17 4LJ","25","AD1046"
"C142","Organic","","7173590964","Male","2004-12-18"," Paul","Pena","paul_pena@hotmail.com","DN6 9AB","31",""
